name,artist,popularity,id,release_date,track_number,explicit,duration_ms,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Blinding Lights,The Weeknd,88,0VjIjW4GlUZAMYd2vXMi3b,2020-03-20,9,False,200040,96,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001
Shape of You,Ed Sheeran,85,7qiZfU4dY1lWllzX7mPBI3,2017-03-03,4,False,233712,89,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977
Someone You Loved,Lewis Capaldi,87,7qEHsqek33rTcFNT9PFqLf,2019-05-17,4,False,182160,81,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891
As It Was,Harry Styles,88,4Dvkj6JhhA12EX05fT7y2e,2022-05-20,4,False,167303,84,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",80,3KkXRkHbMCARz0aVfEt68P,2018-12-14,2,False,158040,92,0.76,0.478,2.0,-5.574,1.0,0.0467,0.552,0.0,0.0703,0.913,89.908
Starboy,"The Weeknd, Daft Punk",88,7MXVkk9YMctZqd1Srtv4MB,2016-11-25,1,True,230453,96,0.679,0.587,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.003
One Dance,"Drake, Wizkid, Kyla",0,12VWzyPDBCc8fqeWCAfNwR,2016-05-13,12,False,173986,96,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.00188,0.329,0.37,103.967
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",28,5PjdY0CKGZdEuoNab3yDmX,2021-07-23,3,True,141805,85,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928
Sweater Weather,The Neighbourhood,91,2QjOHCTQ1Jl3zawyYOpxh6,2013-04-22,4,False,240400,86,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053
Dance Monkey,Tones And I,74,2N8m6CYs74qQO4mjVcXO30,2021-07-16,16,False,209438,70,0.824,0.587,6.0,-6.401,0.0,0.0937,0.69,0.000105,0.149,0.514,98.029
Believer,Imagine Dragons,18,1NtIMM4N0cFa1dNzN15chl,2017-06-23,3,False,204346,89,0.772,0.78,10.0,-4.288,0.0,0.108,0.0512,0.0,0.119,0.719,124.988
Heat Waves,Glass Animals,31,02MWAaffLxlfxAUY7c5dvx,2020-08-06,14,False,238805,78,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
Perfect,Ed Sheeran,85,0tgVpDi06FyKpA1z0VMD4v,2017-03-03,5,False,263400,89,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05
rockstar (feat. 21 Savage),"Post Malone, 21 Savage",81,0e7ipj03S05BNilyu5bRzt,2018-04-27,6,True,218146,92,0.585,0.52,5.0,-6.136,0.0,0.0713,0.124,7.75e-05,0.131,0.129,159.798
Say You Won't Let Go,James Arthur,86,5uCax9HTNlzGybIStD3vDh,2016-10-28,2,False,211466,81,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.043
Closer,"The Chainsmokers, Halsey",51,7crMiinWx373rNBZBaVske,2016-11-04,3,False,245506,83,0.738,0.541,8.0,-5.597,1.0,0.0303,0.415,0.0,0.11,0.657,94.949
lovely (with Khalid),"Billie Eilish, Khalid",87,0u2P5u6lvoDfwTYjAADbn4,2018-04-19,1,False,200185,95,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284
Watermelon Sugar,Harry Styles,83,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,2,False,174000,84,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39
Señorita,"Shawn Mendes, Camila Cabello",79,6v3KW9xbzN5yKLt9YKDYA2,2019-06-19,1,False,190799,84,0.759,0.548,9.0,-6.049,0.0,0.0289,0.0379,0.0,0.0828,0.75,116.963
Something Just Like This,"The Chainsmokers, Coldplay",88,6RUKPb4LETWmmr3iAEQktW,2017-04-07,5,False,247160,83,0.617,0.635,11.0,-6.769,0.0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
Don't Start Now,Dua Lipa,81,3PfIrDoz19wz7qK7tYeu62,2020-03-27,2,False,183290,88,0.793,0.793,11.0,-4.521,0.0,0.083,0.0123,0.0,0.0951,0.679,123.95
Riptide,Vance Joy,76,3JvrhDOgAt6p7K8mDyZwRd,2014-09-08,4,False,204280,76,0.484,0.731,1.0,-6.694,1.0,0.0379,0.431,0.0,0.151,0.51,101.654
Take Me to Church,Hozier,59,0aOluBqXYd0rFSCsgDyAWX,2014-10-07,1,False,241693,87,0.575,0.664,4.0,-5.303,0.0,0.0481,0.637,0.0,0.116,0.437,129.07
Lucid Dreams,Juice WRLD,0,0s3nnoMeVWz3989MkNQiRf,2018-05-23,3,True,239835,88,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903
Another Love,Tom Odell,64,7otCGmgp9h4CsR2LhwB6gt,2013-09-17,3,True,244360,80,0.445,0.537,4.0,-8.532,0.0,0.04,0.695,1.6e-05,0.0941,0.131,122.764
Photograph,Ed Sheeran,84,1HNkqx9Ahdgi1Ixy2xkKkL,2014-06-21,6,False,258986,89,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.000464,0.0986,0.201,107.989
Counting Stars,OneRepublic,0,1fh2TfUOtOoXEE8qQynYEC,2013-03-26,1,False,257279,85,0.663,0.712,1.0,-4.945,0.0,0.0381,0.0649,0.0,0.119,0.48,122.014
God's Plan,Drake,81,6DCZcSspjsKoFjzjrWoCdn,2018-06-29,5,True,198973,96,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169
Circles,Post Malone,84,21jGcNKet2qwijlDFuPiPb,2019-09-06,6,False,215280,92,0.695,0.763,0.0,-3.497,1.0,0.0396,0.189,0.00242,0.0863,0.551,120.042
Bohemian Rhapsody - Remastered 2011,Queen,70,7tFiyTwD0nx5a1eklYtX2J,1975-11-21,11,False,354320,86,0.391,0.402,0.0,-9.961,0.0,0.0539,0.289,0.0,0.243,0.228,143.879
bad guy,Billie Eilish,80,2Fxmhks0bxGSBdJ92vM42m,2019-03-29,2,False,194087,95,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128
Thinking out Loud,Ed Sheeran,81,34gCuhDGsG4bRPIf9bb02f,2014-06-21,11,False,281560,89,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",77,3bidbhpOYeV4knp8AIu8Xn,2012-10-09,2,False,258342,64,0.641,0.922,2.0,-4.457,1.0,0.0786,0.0291,0.0,0.0862,0.847,146.078
Shallow,"Lady Gaga, Bradley Cooper",83,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,12,False,215733,91,0.577,0.385,7.0,-6.362,1.0,0.03,0.371,0.0,0.231,0.331,95.82
goosebumps,Travis Scott,85,6gBFPUFcJLzWGx4lenP6h2,2016-09-16,9,True,243836,94,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049
Love Yourself,Justin Bieber,83,50kpGaPAhYJ3sGmk6vplg0,2015-11-13,5,False,233720,90,0.609,0.378,4.0,-9.828,1.0,0.438,0.835,0.0,0.28,0.515,100.43
Yellow,Coldplay,90,3AJwUDP919kvQ9QcozQPxg,2000-07-10,5,False,266773,91,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372
Thunder,Imagine Dragons,0,5VnDkUNyX6u5Sk0yZiP8XB,2017-06-23,9,False,187146,89,0.604,0.826,0.0,-4.804,1.0,0.0434,0.00782,0.15,0.154,0.241,167.985
All of Me,John Legend,84,3U4isOIWM3VvDubwSI3y7a,2013-08-30,6,False,269560,76,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93
Cruel Summer,Taylor Swift,91,1BxfuPKGuaTgP7aM0Bbdwr,2019-08-23,2,False,178426,100,0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994
Wake Me Up,Avicii,47,4QRZirU4s1f30iDHzuKncj,2013-07-30,1,False,249693,82,0.516,0.806,2.0,-5.133,1.0,0.0538,0.00389,0.000674,0.115,0.577,124.118
I Wanna Be Yours,Arctic Monkeys,91,5XeFesFbtLpXzIVDNQP22n,2013-09-09,12,False,183956,87,0.464,0.417,0.0,-9.345,0.0,0.0256,0.136,0.022,0.0974,0.479,67.528
Die For You,The Weeknd,85,2LBqCSwhJGcFQeTHMVGwy3,2016-11-24,17,False,260253,96,0.586,0.525,1.0,-7.163,0.0,0.0615,0.111,0.0,0.134,0.508,133.629
The Hills,The Weeknd,3,25khomWgBVamSdKw7hzm3l,2015-08-28,5,True,242253,96,0.356,0.567,0.0,-7.011,0.0,0.0798,0.0861,0.0,0.137,0.109,135.553
Stressed Out,Twenty One Pilots,85,3CRDbSIZ4r5MsZ0YwxuEkn,2015-05-15,2,False,202333,83,0.734,0.637,4.0,-5.677,0.0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
Demons,Imagine Dragons,74,3LlAyCYU26dvFZBDUIMb7a,2012-09-04,4,False,175200,89,0.5,0.71,3.0,-3.015,1.0,0.0339,0.19,0.00025,0.329,0.419,89.929
The Night We Met,Lord Huron,78,0QZ5yyl6B6utIWkxeBDxQN,2015-04-07,14,False,208211,78,0.545,0.366,2.0,-9.51,1.0,0.0378,0.969,0.267,0.641,0.1,86.997
No Role Modelz,J. Cole,3,62vpWI1CHwFy7tMIcSStl8,2014-12-09,9,True,292986,86,0.692,0.521,10.0,-8.465,0.0,0.33,0.301,0.0,0.0565,0.463,100.45
Let Her Go,Passenger,0,6GmUVqe73u5YRfUUynZK6I,2012-06-29,2,False,252733,71,0.479,0.545,7.0,-7.346,1.0,0.0688,0.365,0.0,0.0963,0.244,74.897
7 rings,Ariana Grande,82,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,10,True,178626,92,0.777,0.317,1.0,-10.732,0.0,0.308,0.591,0.0,0.0881,0.33,139.848
HUMBLE.,Kendrick Lamar,84,7KXjTSCq5nL1LoYtL7XAwS,2017-04-14,8,True,177000,92,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011
Mr. Brightside,The Killers,24,7oK9VyNzrYvRFo7nQEYkWN,2004-06-15,2,False,222586,79,0.356,0.924,1.0,-3.74,1.0,0.0808,0.00101,0.0,0.0953,0.232,148.017
Viva La Vida,Coldplay,86,1mea3bSkSGXuIRvnydlB5b,2008-05-26,7,False,242373,91,0.486,0.617,5.0,-7.115,0.0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
Lose Yourself,Eminem,77,5Z01UMMf7V1o0MzF86s6WJ,2005-12-06,6,True,326466,93,0.692,0.744,2.0,-4.565,1.0,0.257,0.00868,0.000423,0.359,0.0612,171.374
Do I Wanna Know?,Arctic Monkeys,0,3jfr0TF6DQcOLat8gGn7E2,2013-09-09,1,False,272394,87,0.548,0.532,5.0,-7.596,1.0,0.0323,0.186,0.000263,0.217,0.405,85.03
Without Me,Eminem,86,7lQ8MOhq6IN2w8EYcFNSUk,2002-05-26,10,True,290320,93,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",80,7ef4DlsgrMEH11cDZd32M6,2018-04-06,1,False,214846,87,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994
drivers license,Olivia Rodrigo,83,5wANPM4fQCJwkGd4rN57mH,2021-05-21,3,True,242013,88,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875
SAD!,XXXTENTACION,79,3ee8Jmje8o58CHK66QrVC2,2018-03-16,4,True,166605,88,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023
Treat You Better,Shawn Mendes,0,1rtDwblY1CJ9i490fMzJnc,2016-09-23,3,False,187973,84,0.455,0.797,10.0,-4.133,0.0,0.36,0.132,0.0,0.11,0.757,165.717
When I Was Your Man,Bruno Mars,88,0nJW01T7XtvILxQgC5J7Wh,2012-12-07,6,False,213826,93,0.612,0.28,0.0,-8.648,1.0,0.0434,0.932,0.0,0.088,0.387,72.795
good 4 u,Olivia Rodrigo,82,4ZtFanR9U6ndgddUvNcjcG,2021-05-21,6,True,178146,88,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928
Jocelyn Flores,XXXTENTACION,80,7m9OqQk4RVRkw9JJdeAw96,2017-08-25,2,True,119133,88,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021
Just the Way You Are,Bruno Mars,84,7BqBn9nzAq8spo5e7cZ0dJ,2010-05-11,2,False,220734,93,0.635,0.841,5.0,-5.379,1.0,0.0422,0.0134,0.0,0.0622,0.424,109.021
Let Me Love You,"DJ Snake, Justin Bieber",83,0lYBSQXN6rCTvUZvg9S0lU,2016-08-05,13,False,205946,79,0.475,0.715,8.0,-5.371,1.0,0.058,0.0863,2.67e-05,0.135,0.159,199.892
Happier,"Marshmello, Bastille",12,2dpaYNEQHiRxtZbfNsse99,2018-08-17,1,False,214289,84,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.011
Unforgettable,"French Montana, Swae Lee",86,3B54sVLJ402zGa6Xm4YGNe,2017-07-14,2,True,233901,76,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985
SICKO MODE,Travis Scott,82,2xLMifQCjDGFmkHkpNLD9h,2018-08-03,3,True,312820,94,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008
XO Tour Llif3,Lil Uzi Vert,82,7GX5flRQZVHRAGd6B4TmDO,2017-08-25,16,True,182706,85,0.732,0.75,11.0,-6.366,0.0,0.231,0.00264,0.0,0.109,0.401,155.096
Flowers,Miley Cyrus,12,4DHcnVTT87F0zZhRPYmZ3B,2023-03-10,1,False,200600,84,0.706,0.691,0.0,-4.775,1.0,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048
That's What I Like,Bruno Mars,86,0KKkJNfGyhkQ5aFogxQAPU,2016-11-17,4,False,206693,93,0.853,0.56,1.0,-4.961,1.0,0.0406,0.013,0.0,0.0944,0.86,134.066
Every Breath You Take,The Police,87,1JSTJqkT5qHq8MDJnJbRE1,1983-06-17,7,False,253920,78,0.82,0.452,1.0,-9.796,1.0,0.0348,0.543,0.00294,0.0714,0.74,117.401
In the End,Linkin Park,87,60a0Rd6pjrkxjPbaKzXjfq,2000,8,False,216880,92,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143
Sorry,Justin Bieber,83,09CtPGIpYB4BrO8qb1RGsF,2015-11-13,4,False,200786,90,0.655,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.409,99.947
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",0,4vS8VaBwJJV5Ry7UFIQuoo,2015-06-01,4,False,176561,77,0.723,0.809,7.0,-3.081,0.0,0.0625,0.00346,0.00123,0.565,0.274,98.007
New Rules,Dua Lipa,79,2ekn2ttSfGqwhhate0LSR0,2017-06-02,10,False,209320,88,0.762,0.7,9.0,-6.021,0.0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
Locked out of Heaven,Bruno Mars,41,1qCdYQdkWvm4cYXAuOlbyc,2012-12-10,2,False,233478,93,0.726,0.698,5.0,-4.165,1.0,0.0431,0.049,0.0,0.309,0.867,143.994
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",81,5nujrmhLynf4yMoMtj8AQF,2020-03-27,12,False,203064,88,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977
There's Nothing Holdin' Me Back,Shawn Mendes,84,7JJmb5XwzOO8jgpou264Ml,2017-04-20,1,False,199440,84,0.866,0.811,11.0,-4.063,0.0,0.0553,0.375,0.0,0.078,0.969,121.995
Too Good At Goodbyes,Sam Smith,2,3VlbOrM6nYPprVvzBZllE5,2017-11-03,1,False,201000,84,0.715,0.372,5.0,-8.237,1.0,0.0443,0.638,0.0,0.169,0.474,91.931
Stay With Me,Sam Smith,82,5Nm9ERjJZ5oyfXZTECKmRt,2014-05-26,3,False,172723,84,0.413,0.42,0.0,-6.444,1.0,0.0416,0.588,6.39e-05,0.11,0.185,84.126
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",68,7rglLriMNBPAyuJOMGwi39,2021-10-22,1,False,202735,84,0.795,0.8,1.0,-6.32,1.0,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032
Havana (feat. Young Thug),"Camila Cabello, Young Thug",80,1rfofaqEpACxVEHIZBJe6W,2018-01-12,4,False,217306,82,0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.56e-05,0.132,0.394,104.988
Smells Like Teen Spirit,Nirvana,77,5ghIJDpPoe3CfHMGu71E6T,1991-09-26,1,False,301920,83,0.502,0.912,1.0,-4.556,1.0,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
Without Me,Halsey,77,6FZDfxM3a3UCqtzo5pxSLZ,2020-01-17,9,True,201660,82,0.752,0.488,6.0,-7.05,1.0,0.0705,0.293,9.2e-06,0.0936,0.533,136.07
Save Your Tears,The Weeknd,85,5QO79kh1waicV47BqGRL3g,2020-03-20,11,True,215626,96,0.679,0.825,0.0,-5.487,1.0,0.0309,0.0212,1.21e-05,0.543,0.644,118.049
Wonderwall (Remastered),Oasis,0,5wj4E6IsrVtn8IBJQOd0Cl,1995-10-02,3,False,258732,83,0.372,0.865,2.0,-4.918,1.0,0.0381,0.000453,0.0,0.234,0.478,174.53
Don't Stop Me Now - Remastered 2011,Queen,74,7hQJA50XrCWABAu5v6QZ4i,1978-11-10,12,False,209413,86,0.563,0.865,5.0,-5.277,1.0,0.16,0.0472,0.000191,0.77,0.601,156.271
Memories,Maroon 5,82,4cktbXiXOapiLBMprHFErI,2021-06-11,11,False,189486,87,0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05
Don't Stop Believin',Journey,16,4bHsxqR3GMrXTxEPLuK5ue,1981,1,False,250986,76,0.5,0.748,4.0,-9.072,1.0,0.0363,0.127,0.0,0.447,0.514,118.852
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",82,32OlwWuMpZ6b0aN2RZOeMS,2015-01-12,4,True,269666,77,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",73,5Z9KJZvQzH6PFmb8SNkxuk,2021-09-17,3,True,212352,76,0.741,0.691,10.0,-7.395,0.0,0.0672,0.0221,0.0,0.0476,0.892,150.087
Kill Bill,SZA,86,1Qrg8KqiBpW07V7PNxwwwL,2022-12-08,2,False,153946,90,0.644,0.735,8.0,-5.747,1.0,0.0391,0.0521,0.144,0.161,0.418,88.98
Take on Me,a-ha,87,2WfaOiMkCvy7F5fcp2zZ8L,1985-06-01,1,False,225280,74,0.573,0.902,6.0,-7.638,0.0,0.054,0.018,0.00125,0.0928,0.876,84.412
DÁKITI,"Bad Bunny, JHAYCO",77,4MzXwWMhyBbmu6hOcLVD49,2020-11-27,11,True,205090,95,0.731,0.573,4.0,-10.059,0.0,0.0544,0.401,5.22e-05,0.113,0.145,109.928
Congratulations,"Post Malone, Quavo",79,3a1lNhkSLSkpJE4MSHpDu9,2016-12-09,12,True,220293,92,0.63,0.804,6.0,-4.183,1.0,0.0364,0.215,0.0,0.253,0.492,123.146
Till I Collapse,"Eminem, Nate Dogg",83,4xkOaSrkexMciUUogZKVTS,2002-05-26,18,True,297786,93,0.548,0.847,1.0,-3.237,1.0,0.186,0.0622,0.0,0.0816,0.1,171.447
Someone Like You,Adele,1,4kflIGfjdZJW4ot2ioixTB,2011-01-19,11,False,285040,88,0.559,0.33,9.0,-8.251,1.0,0.0285,0.892,0.0,0.0975,0.285,135.109
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",64,1MtUq6Wp1eQ8PC6BbPCj8P,2016-05-06,13,True,197933,71,0.664,0.714,7.0,-6.645,0.0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969
The Scientist,Coldplay,85,75JFxkI2RXiU7L9VXzMkle,2002-08-27,4,False,309600,91,0.557,0.442,5.0,-7.224,1.0,0.0243,0.731,1.46e-05,0.11,0.213,146.277
Faded,Alan Walker,69,7gHs73wELdeycvS48JfIos,2015-12-04,1,False,212626,82,0.589,0.651,6.0,-5.097,1.0,0.0306,0.0291,3.2e-06,0.111,0.166,90.011
Before You Go,Lewis Capaldi,82,2gMXnyrvIjhVBUZwvLZDMP,2019-11-22,13,False,215106,81,0.459,0.574,3.0,-4.857,1.0,0.0577,0.608,0.0,0.0885,0.183,111.881
Sweet Child O' Mine,Guns N' Roses,85,7snQQk1zcKl8gZ92AnueZW,1987-07-21,9,False,356066,81,0.445,0.952,6.0,-5.321,1.0,0.0522,0.09,0.0843,0.112,0.624,125.304
Another One Bites The Dust - Remastered 2011,Queen,73,57JVGBtBLCfHw2muk5416J,1980-06-27,3,False,214653,86,0.932,0.528,5.0,-6.472,0.0,0.161,0.115,0.329,0.163,0.757,109.975
Better Now,Post Malone,78,7dt6x5M1jzdTEt8oCbisTK,2018-04-27,9,True,231266,92,0.674,0.578,10.0,-5.804,1.0,0.0408,0.331,0.0,0.135,0.34,145.07
Don't Let Me Down,"The Chainsmokers, Daya",48,0w75KG0DuLDi6tdHmEMovD,2016-11-04,5,False,208666,83,0.534,0.868,11.0,-5.057,1.0,0.205,0.187,0.0032,0.148,0.406,159.763
"thank u, next",Ariana Grande,78,3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,11,True,207320,92,0.72,0.654,1.0,-5.634,1.0,0.0647,0.227,0.0,0.101,0.411,106.976
MONTERO (Call Me By Your Name),Lil Nas X,77,1SC5rEoYDGUK4NfG82494W,2021-09-17,1,True,137704,76,0.593,0.503,8.0,-6.725,0.0,0.22,0.293,0.0,0.405,0.71,178.781
Roses - Imanbek Remix,"SAINt JHN, Imanbek",0,7fPuWrlpwDcHm5aHCH5D9t,2019-09-13,1,True,176218,69,0.785,0.721,8.0,-5.457,1.0,0.0506,0.0149,0.00432,0.285,0.894,121.962
Dynamite,BTS,78,5QDLhrAOJJdNAmCTJ8xMyW,2020-11-20,8,False,199053,87,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044
All I Want for Christmas Is You,Mariah Carey,73,0bYg9bo50gSsH3LtXe2SQn,1994-10-28,2,False,241106,79,0.336,0.627,7.0,-7.463,1.0,0.0384,0.164,0.0,0.0708,0.35,150.273
Stitches,Shawn Mendes,37,3zkWCteF82vJwv0hRLba76,2015-04-14,2,False,206880,84,0.752,0.754,1.0,-6.684,1.0,0.0615,0.0151,0.0,0.0486,0.755,149.789
Payphone,"Maroon 5, Wiz Khalifa",65,1LmN9SSHISbtp9LoaR5ZVJ,2021-06-20,2,True,231386,87,0.739,0.756,4.0,-4.828,1.0,0.0393,0.0136,0.0,0.37,0.522,110.028
The Box,Roddy Ricch,82,0nbXyq5TXYPCO7pr3N8S4I,2019-12-06,2,True,196652,77,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971
Moonlight,XXXTENTACION,81,0JP9xo3adEtGSdUEISiszL,2018-03-16,3,True,135090,88,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009
Mood (feat. iann dior),"24kGoldn, iann dior",80,4jPy3l0RUwlUI9T5XHBW2m,2021-03-26,13,True,140533,71,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007
7 Years,Lukas Graham,80,5kqIPrATaCc2LqxVWzQGbk,2016-04-01,1,False,237300,71,0.765,0.473,10.0,-5.829,1.0,0.0514,0.287,0.0,0.391,0.34,119.992
I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",77,0hVXuCcriWRGvwMV1r5Yn9,2019-07-12,6,False,219946,89,0.798,0.676,6.0,-5.041,1.0,0.0442,0.0902,0.0,0.0894,0.843,101.956
Pumped Up Kicks,Foster The People,85,7w87IxuO7BDcJ3YUqCyMTT,2011-05-23,2,False,239600,75,0.733,0.71,5.0,-5.849,0.0,0.0292,0.145,0.115,0.0956,0.965,127.975
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",0,7wqSzGeodspE3V6RBD5W8L,2015-03-10,1,False,229525,82,0.689,0.481,10.0,-7.503,1.0,0.0815,0.369,1.03e-06,0.0649,0.283,80.025
I'm Not The Only One,Sam Smith,0,0fioLzGM8ngbD1w6fMmm45,2014-01-01,5,False,239316,84,0.453,0.496,5.0,-5.785,1.0,0.0453,0.554,2.65e-05,0.0772,0.501,80.994
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",85,2HRgqmZQC0MC7GeNuDIXHN,2023-11-03,3,True,183550,87,0.79,0.831,11.0,-4.185,1.0,0.044,0.312,0.0,0.0797,0.872,124.987
I'm Yours,Jason Mraz,75,1EzrEOXmMH3G43AXT1y7pA,2008-05-12,2,False,242946,73,0.703,0.444,11.0,-9.331,1.0,0.0417,0.559,0.0,0.0973,0.712,150.96
Africa,TOTO,85,2374M0fQpWi3dLnB54qaLX,1982-04-08,10,False,295893,77,0.671,0.373,9.0,-18.064,1.0,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",69,6rPO02ozF3bM7NnOV4h6s2,2017-04-17,1,False,228826,75,0.653,0.816,2.0,-4.353,1.0,0.167,0.228,0.0,0.0967,0.816,178.085
Cheap Thrills,Sia,74,27SdWb2rFzO6GWiYDBTD9j,2016-01-29,6,False,211666,85,0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976
Attention,Charlie Puth,83,5cF0dROlMOK5uNZtivgu50,2018-05-11,2,False,208786,81,0.775,0.613,3.0,-4.586,0.0,0.0542,0.109,2.33e-05,0.134,0.797,100.066
Iris,The Goo Goo Dolls,88,6Qyc6fS4DsZjB2mRW9DsQs,1998,11,False,289533,76,0.315,0.715,11.0,-8.072,0.0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",89,7KA4W4McWYRpgf0fWsJZWB,2017-07-21,4,True,180386,86,0.558,0.559,6.0,-9.222,1.0,0.0959,0.371,7.49e-06,0.109,0.62,78.558
I Like Me Better,Lauv,4,2P91MQbaiQOfbiz9VqhqKQ,2018-05-31,1,False,197436,76,0.752,0.505,9.0,-7.621,1.0,0.253,0.535,2.55e-06,0.104,0.419,91.97
Rolling in the Deep,Adele,1,1CkvWZme3pRgbzaxZnTl5X,2011-01-19,1,False,228293,88,0.729,0.756,8.0,-5.119,1.0,0.0294,0.131,0.0,0.0527,0.522,104.945
